metric,k,f1_macro_mean,f1_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,top_1_mean,top_1_std,top_3_mean,top_3_std,top_5_mean,top_5_std
euclidean,1,0.6307395338099636,0.034042008208884506,0.7960212549418969,0.021633188819643615,0.6594111969111969,0.03091866390570748,0.7302203989703989,0.026924809139348797,0.8333011583011583,0.01835772081008905
euclidean,2,0.6307395338099636,0.034042008208884506,0.8648412706274933,0.025208097875367225,0.6594111969111969,0.03091866390570748,0.826093951093951,0.03174890762160095,0.8879745817245818,0.028408199246040138
euclidean,3,0.659436393728356,0.05110748188983953,0.8973968809136459,0.025473961333930678,0.6889800514800515,0.051635277046645306,0.8727155727155728,0.0358704353069615,0.9166264478764479,0.03108945146694006
euclidean,4,0.6674534430695952,0.047927527737844304,0.9099226966638915,0.022947073760303322,0.6997265122265123,0.04461810707043684,0.8807754182754184,0.03544116671761848,0.9282496782496784,0.02621236832965035
euclidean,5,0.6827490871820143,0.050845857636964586,0.920718665352217,0.02311284475654375,0.7176721364221365,0.044946616129230586,0.8825691763191765,0.03266964074671699,0.9381193693693695,0.024917192915014024
euclidean,6,0.701377759620278,0.036089997325328714,0.929018254000772,0.02034002571565897,0.733815958815959,0.03150381307057501,0.8906290218790218,0.033836921236835155,0.9426158301158301,0.023654338786109674
euclidean,7,0.7041049109785465,0.028897160039033108,0.9329348918172935,0.018895521837088966,0.7364864864864866,0.02686023747420256,0.8915540540540541,0.03546704048400572,0.947112290862291,0.02372929073052816
euclidean,8,0.7122019071121614,0.03206981304833153,0.9385766518069205,0.01950038167582062,0.7481499356499357,0.029022724208588015,0.896074646074646,0.033187670121709666,0.951600707850708,0.022455360744160893
euclidean,9,0.7214226614900036,0.03364337985479919,0.9433626186074837,0.018002929861402985,0.7508606821106821,0.031301234800717295,0.9095157657657659,0.028350781547683397,0.9596685971685972,0.019516580232778732
euclidean,10,0.7242067513192618,0.033018942967236536,0.9453250265483056,0.014290226996830992,0.753555341055341,0.03214153930296239,0.9166747104247104,0.025246338379312935,0.9650579150579149,0.016595554935205502
euclidean,11,0.7276656084172379,0.052626319355018804,0.9472772708769206,0.015001328053652787,0.7571267696267696,0.047914280996049746,0.9148809523809524,0.029281533212635998,0.9668436293436293,0.015276590978564387
euclidean,12,0.722848006851423,0.039090487460769825,0.95061389161438,0.012971338674803243,0.7544321106821107,0.03524046298636944,0.9121460746460747,0.025398661897928446,0.9668436293436293,0.011993132647803799
euclidean,13,0.7273689072479674,0.03620990219146932,0.9517324543260791,0.012034667769993056,0.7544240669240668,0.03655815025754418,0.9175353925353926,0.021124044670227504,0.9677284427284428,0.01054539099683154
euclidean,14,0.7454834010411447,0.03442322423552242,0.9522998502496931,0.012182953543730213,0.7687419562419562,0.031024260232302227,0.9184282496782498,0.016731465748877992,0.9677203989703991,0.010586368607370333
euclidean,15,0.7370034058166965,0.04382300144195107,0.9550505288201533,0.011022329170564402,0.7615669240669242,0.038648075042627975,0.9166425353925355,0.02078412063421074,0.9695141570141571,0.008734136881811358
